group,year,date,isFemale,focalID,adult1,adult2,adult3,adult4
4,2019,2/18/2019,0,M132,M163,,,
3,2019,7/21/2019,0,M060,M022,,,
1,2016,2/23/2016,0,M366,M315,,,
4,2019,9/1/2019,1,M155,M213,,,
1,2016,5/2/2016,0,M404,,,,
1,2016,2/3/2016,0,M302,,,,
3,2018,6/14/2018,1,M005,,,,
3,2017,6/18/2017,1,M113,M086,M082,M027,
3,2019,9/1/2019,0,M010,M016,,,
4,2018,8/30/2018,0,M210,,,,
3,2017,4/3/2017,1,M053,M091,M033,M086,
3,2019,8/19/2019,0,M052,M017,M376,,
2,2013,4/22/2013,1,M418,,,,
3,2018,7/25/2018,0,M091,M053,M086,M113,
3,2019,9/7/2019,1,M496,M011,M252,M047,
2,2016,9/21/2016,1,M429,,M447,,
4,2014,4/22/2014,1,M143,,,,
2,2016,8/18/2016,0,M484,,M450,M417,M446
3,2018,8/27/2018,0,M033,M044,,,
4,2018,7/19/2018,0,M230,M166,,,
4,2017,5/18/2017,0,M151,,,,
4,2018,6/6/2018,1,M163,,,,
3,2017,2/26/2017,0,M376,M030,,,
4,2019,5/3/2019,1,M554,M135,,,
3,2019,8/10/2019,0,M052,M499,,,
1,2016,4/19/2016,1,M285,,,,
3,2019,1/17/2019,0,M086,M051,,,
1,2017,2/16/2017,0,M270,,M256,M280,M319
4,2015,4/13/2015,0,M188,,,,
3,2018,9/11/2018,0,M060,M016,,,
3,2019,9/20/2019,1,M077,M062,M078,M074,
4,2019,8/14/2019,1,M157,,,,
4,2019,9/5/2019,1,M154,,,,
1,2016,8/10/2016,1,M345,,,,
4,2019,7/28/2019,1,M231,,,,
2,2015,8/18/2015,1,M434,,,,
4,2016,5/31/2016,1,M231,,,,
3,2015,5/5/2015,0,M055,,,,
3,2015,7/23/2015,1,M023,,,,
4,2015,3/4/2015,0,M159,,,,
1,2015,3/29/2015,1,M275,,,,
1,2016,2/24/2016,0,M280,M339,,,
3,2017,3/28/2017,1,M016,M498,,,
4,2017,11/1/2017,1,M163,,,,
2,2014,4/24/2014,0,M226,,,,
3,2014,10/13/2014,0,M008,,,,
3,2017,3/21/2017,1,M498,M091,M051,,
4,2017,2/8/2017,0,M165,,,,
4,2015,9/15/2015,0,M215,,,,
4,2017,6/16/2017,1,M548,,,,
3,2019,10/2/2019,0,M011,M093,M494,,
3,2019,10/4/2019,1,M082,,,,
3,2014,9/19/2014,1,M018,,,,
1,2017,4/18/2017,1,M398,,,,
4,2017,2/9/2017,0,M151,,,,
3,2017,7/21/2017,1,M062,M017,,,
4,2018,3/30/2018,1,M124,,,,
1,2014,6/18/2014,1,M265,,,,
4,2017,1/20/2017,1,M190,,,,
3,2017,8/9/2017,0,M041,M075,M036,,
1,2016,8/15/2016,1,M303,,M012,,
3,2017,8/26/2017,0,M495,M498,,,
3,2017,7/24/2017,0,M044,M091,M017,M010,
1,2017,8/18/2017,0,M269,,,,
4,2017,10/3/2017,0,M161,M150,,,
4,2017,6/3/2017,1,M139,,,,
1,2016,6/5/2016,1,M012,,,,
3,2018,4/19/2018,0,M073,M048,,,
4,2019,2/14/2019,0,M240,,,,
4,2018,4/19/2018,0,M249,M217,,,
1,2016,2/23/2016,0,M365,,,,
4,2018,10/2/2018,1,M158,,,,
1,2014,5/14/2014,0,M328,,,,
1,2018,3/17/2018,1,M346,,,,
4,2019,4/16/2019,1,M548,M550,M149,M120,M125
4,2016,9/1/2016,0,M211,,,,
3,2017,9/6/2017,0,M052,M013,M073,M027,
3,2017,3/21/2017,0,M073,,,,
4,2018,6/3/2018,1,M236,,,,
3,2017,7/27/2017,0,M093,,,,
1,2018,5/10/2018,1,M313,M257,,,
